time,data,src
1722605821.347188,NA,pContactMgrV20
1722605822.348028,NA,pContactMgrV20
1722605822.348028,NA,pContactMgrV20
1722605823.348738,NA,pContactMgrV20
1722605823.348738,NA,pContactMgrV20
1722605824.349628,NA,pContactMgrV20
1722605825.3502982,NA,pContactMgrV20
1722605826.351038,NA,pContactMgrV20
1722605826.351038,NA,pContactMgrV20
1722605827.351738,NA,pContactMgrV20
1722605828.352438,NA,pContactMgrV20
1722605829.353368,NA,pContactMgrV20
1722605830.354258,NA,pContactMgrV20
1722605830.354258,NA,pContactMgrV20
1722605831.354978,NA,pContactMgrV20
1722605832.355818,NA,pContactMgrV20
1722605833.3585281,vname=max|range=25.63|age=2.52,pContactMgrV20
1722605833.3585281,vname=max|range=25.63|age=2.52,pContactMgrV20
1722605834.359798,vname=max|range=25.59|age=0.50,pContactMgrV20
1722605835.3603082,vname=max|range=25.58|age=1.50,pContactMgrV20
1722605836.363358,vname=max|range=25.59|age=2.50#vname=ned|range=24.75|age=2.58,pContactMgrV20
1722605837.363568,vname=max|range=25.54|age=0.49#vname=ned|range=24.70|age=0.56,pContactMgrV20
1722605838.3641782,vname=max|range=25.53|age=1.49#vname=ned|range=24.69|age=1.56,pContactMgrV20
1722605839.366838,vname=max|range=25.52|age=2.49#vname=ned|range=24.68|age=2.56#vname=oak|range=26.29|age=2.32,pContactMgrV20
1722605840.367878,vname=max|range=25.43|age=0.47#vname=ned|range=24.70|age=0.55#vname=oak|range=26.28|age=0.30,pContactMgrV20
1722605841.368468,vname=max|range=25.41|age=1.48#vname=ned|range=24.68|age=1.56#vname=oak|range=26.26|age=1.31,pContactMgrV20
1722605842.369998,vname=max|range=25.39|age=2.48#vname=ned|range=24.66|age=2.56#vname=oak|range=26.24|age=2.31,pContactMgrV20
1722605843.371298,vname=max|range=25.31|age=0.47#vname=ned|range=24.62|age=0.54#vname=oak|range=26.22|age=0.30,pContactMgrV20
1722605844.372638,vname=max|range=25.29|age=1.47#vname=ned|range=24.59|age=1.54#vname=oak|range=26.20|age=1.30,pContactMgrV20
1722605845.374308,vname=max|range=25.27|age=2.47#vname=ned|range=24.57|age=2.54#vname=oak|range=26.18|age=2.30,pContactMgrV20
1722605846.377788,vname=max|range=25.19|age=0.46#vname=ned|range=24.58|age=0.53#vname=oak|range=26.15|age=0.28,pContactMgrV20
1722605846.377788,vname=max|range=25.19|age=0.46#vname=ned|range=24.58|age=0.53#vname=oak|range=26.15|age=0.28,pContactMgrV20
1722605847.377188,vname=max|range=25.17|age=1.46#vname=ned|range=24.56|age=1.53#vname=oak|range=26.12|age=1.28,pContactMgrV20
1722605848.378478,vname=max|range=25.15|age=2.46#vname=ned|range=24.55|age=2.53#vname=oak|range=26.11|age=2.28,pContactMgrV20
1722605848.378478,vname=max|range=25.15|age=2.46#vname=ned|range=24.55|age=2.53#vname=oak|range=26.11|age=2.28,pContactMgrV20
1722605849.380008,vname=max|range=25.15|age=0.46#vname=ned|range=24.56|age=0.53#vname=oak|range=26.10|age=0.27,pContactMgrV20
1722605850.381228,vname=max|range=25.15|age=1.46#vname=ned|range=24.56|age=1.53#vname=oak|range=26.10|age=1.27,pContactMgrV20
1722605851.381808,vname=max|range=25.13|age=2.46#vname=ned|range=24.54|age=2.53#vname=oak|range=26.08|age=2.27,pContactMgrV20
1722605852.383318,vname=max|range=25.14|age=0.44#vname=ned|range=24.57|age=0.52#vname=oak|range=26.10|age=0.25,pContactMgrV20
1722605853.384808,vname=max|range=25.14|age=1.44#vname=ned|range=24.57|age=1.52#vname=oak|range=26.10|age=1.25,pContactMgrV20
1722605854.386528,vname=max|range=25.13|age=2.44#vname=ned|range=24.55|age=2.52#vname=oak|range=26.08|age=2.25,pContactMgrV20
1722605855.387938,vname=max|range=25.20|age=0.43#vname=ned|range=24.61|age=0.51#vname=oak|range=26.10|age=3.25,pContactMgrV20
1722605856.389558,vname=max|range=25.21|age=1.44#vname=ned|range=24.62|age=1.52#vname=oak|range=26.16|age=1.25,pContactMgrV20
1722605857.3905082,vname=max|range=25.21|age=2.44#vname=ned|range=24.62|age=2.52#vname=oak|range=26.17|age=2.25,pContactMgrV20
1722605858.3920882,vname=max|range=25.29|age=0.43#vname=ned|range=24.64|age=0.51#vname=oak|range=26.21|age=0.23,pContactMgrV20
1722605859.393748,vname=max|range=25.30|age=1.43#vname=ned|range=24.65|age=1.51#vname=oak|range=26.21|age=1.23,pContactMgrV20
1722605860.394938,vname=max|range=25.31|age=2.43#vname=ned|range=24.66|age=2.51#vname=oak|range=26.23|age=2.23,pContactMgrV20
1722605861.396388,vname=max|range=25.35|age=0.41#vname=ned|range=24.70|age=0.50#vname=oak|range=26.26|age=0.21,pContactMgrV20
1722605862.3976681,vname=max|range=25.36|age=1.41#vname=ned|range=24.71|age=1.50#vname=oak|range=26.27|age=1.21,pContactMgrV20
1722605863.3987482,vname=max|range=25.38|age=2.42#vname=ned|range=24.73|age=2.51#vname=oak|range=26.29|age=2.22,pContactMgrV20
1722605864.400388,vname=max|range=25.45|age=0.41#vname=ned|range=24.69|age=0.50#vname=oak|range=26.36|age=0.20,pContactMgrV20
1722605865.400558,vname=max|range=25.47|age=1.41#vname=ned|range=24.71|age=1.50#vname=oak|range=26.38|age=1.20,pContactMgrV20
1722605866.401758,vname=max|range=25.46|age=2.41#vname=ned|range=24.70|age=2.50#vname=oak|range=26.37|age=2.20,pContactMgrV20
1722605867.403088,vname=max|range=25.52|age=0.39#vname=ned|range=24.71|age=0.49#vname=oak|range=26.44|age=0.19,pContactMgrV20
1722605868.404388,vname=max|range=25.50|age=1.39#vname=ned|range=24.68|age=1.49#vname=oak|range=26.42|age=1.19,pContactMgrV20
1722605869.405448,vname=max|range=25.48|age=2.39#vname=ned|range=24.66|age=2.49#vname=oak|range=26.40|age=2.19,pContactMgrV20
1722605870.407578,vname=max|range=25.47|age=0.38#vname=ned|range=24.70|age=0.48#vname=oak|range=26.46|age=0.17,pContactMgrV20
1722605871.408658,vname=max|range=25.46|age=1.39#vname=ned|range=24.69|age=1.49#vname=oak|range=26.45|age=1.18,pContactMgrV20
1722605872.409888,vname=max|range=25.43|age=2.39#vname=ned|range=24.66|age=2.49#vname=oak|range=26.41|age=2.18,pContactMgrV20
1722605873.411328,vname=max|range=25.38|age=0.38#vname=ned|range=24.64|age=0.47#vname=oak|range=26.43|age=0.16,pContactMgrV20
1722605874.4125981,vname=max|range=25.36|age=1.38#vname=ned|range=24.62|age=1.47#vname=oak|range=26.41|age=1.16,pContactMgrV20
1722605875.4147382,vname=max|range=25.34|age=2.38#vname=ned|range=24.60|age=2.47#vname=oak|range=26.39|age=2.16,pContactMgrV20
1722605876.415278,vname=max|range=25.26|age=0.37#vname=ned|range=24.56|age=0.47#vname=oak|range=26.50|age=0.15,pContactMgrV20
1722605877.4164782,vname=max|range=25.24|age=1.37#vname=ned|range=24.54|age=1.47#vname=oak|range=26.48|age=1.15,pContactMgrV20
1722605878.4207082,vname=max|range=25.23|age=2.37#vname=ned|range=24.52|age=2.47#vname=oak|range=26.47|age=2.15,pContactMgrV20
1722605879.419048,vname=max|range=25.17|age=0.37#vname=ned|range=24.46|age=0.46#vname=oak|range=26.44|age=3.16,pContactMgrV20
1722605880.420578,vname=max|range=25.14|age=1.37#vname=ned|range=24.44|age=1.46#vname=oak|range=26.56|age=1.14,pContactMgrV20
1722605881.421998,vname=max|range=25.11|age=2.37#vname=ned|range=24.41|age=2.46#vname=oak|range=26.53|age=2.14,pContactMgrV20
1722605882.4234982,vname=max|range=25.06|age=0.36#vname=ned|range=24.29|age=0.45#vname=oak|range=26.60|age=0.12,pContactMgrV20
1722605883.424598,vname=max|range=25.05|age=1.36#vname=ned|range=24.28|age=1.45#vname=oak|range=26.59|age=1.12,pContactMgrV20
1722605884.426258,vname=max|range=25.02|age=2.36#vname=ned|range=24.25|age=2.45#vname=oak|range=26.56|age=2.12,pContactMgrV20
