time,data,src
1722605821.347198,NA,pContactMgrV20
1722605821.8474782,NA,pContactMgrV20
1722605822.348038,NA,pContactMgrV20
1722605822.348038,NA,pContactMgrV20
1722605822.848388,NA,pContactMgrV20
1722605823.348748,NA,pContactMgrV20
1722605823.849128,NA,pContactMgrV20
1722605823.849128,NA,pContactMgrV20
1722605824.349638,NA,pContactMgrV20
1722605824.8499482,NA,pContactMgrV20
1722605825.3503082,NA,pContactMgrV20
1722605825.8506281,NA,pContactMgrV20
1722605826.351048,NA,pContactMgrV20
1722605826.351048,NA,pContactMgrV20
1722605826.8513582,NA,pContactMgrV20
1722605827.351748,NA,pContactMgrV20
1722605827.852008,NA,pContactMgrV20
1722605828.352448,NA,pContactMgrV20
1722605828.853038,NA,pContactMgrV20
1722605829.353388,NA,pContactMgrV20
1722605829.853708,NA,pContactMgrV20
1722605830.354268,NA,pContactMgrV20
1722605830.854618,NA,pContactMgrV20
1722605830.854618,NA,pContactMgrV20
1722605831.354988,NA,pContactMgrV20
1722605831.855328,NA,pContactMgrV20
1722605832.355828,NA,pContactMgrV20
1722605832.856208,NA,pContactMgrV20
1722605833.3585482,25.6,pContactMgrV20
1722605833.3585482,25.6,pContactMgrV20
1722605833.8585582,25.6,pContactMgrV20
1722605834.359838,25.6,pContactMgrV20
1722605834.8597882,25.6,pContactMgrV20
1722605835.360338,25.6,pContactMgrV20
1722605835.8611782,25.6,pContactMgrV20
1722605836.363388,24.8|25.6,pContactMgrV20
1722605836.862798,24.8|25.6,pContactMgrV20
1722605837.3636181,24.7|25.5,pContactMgrV20
1722605837.863528,24.7|25.5,pContactMgrV20
1722605838.364218,24.7|25.5,pContactMgrV20
1722605838.865098,24.7|25.5,pContactMgrV20
1722605839.366878,24.7|25.5|26.3,pContactMgrV20
1722605839.867428,24.7|25.5|26.3,pContactMgrV20
1722605840.367918,24.7|25.4|26.3,pContactMgrV20
1722605840.867938,24.7|25.4|26.3,pContactMgrV20
1722605841.368518,24.7|25.4|26.3,pContactMgrV20
1722605841.869468,24.7|25.4|26.3,pContactMgrV20
1722605842.370028,24.7|25.4|26.2,pContactMgrV20
1722605842.8704782,24.7|25.4|26.2,pContactMgrV20
1722605843.3713481,24.6|25.3|26.2,pContactMgrV20
1722605843.871958,24.6|25.3|26.2,pContactMgrV20
1722605844.372688,24.6|25.3|26.2,pContactMgrV20
1722605844.873178,24.6|25.3|26.2,pContactMgrV20
1722605845.374368,24.6|25.3|26.2,pContactMgrV20
1722605845.874908,24.6|25.3|26.2,pContactMgrV20
1722605846.3778481,24.6|25.2|26.1,pContactMgrV20
1722605846.877028,24.6|25.2|26.1,pContactMgrV20
1722605846.877028,24.6|25.2|26.1,pContactMgrV20
1722605847.377248,24.6|25.2|26.1,pContactMgrV20
1722605847.8773181,24.5|25.2|26.1,pContactMgrV20
1722605848.3785481,24.5|25.2|26.1,pContactMgrV20
1722605848.8785682,24.5|25.2|26.1,pContactMgrV20
1722605848.8785682,24.5|25.2|26.1,pContactMgrV20
1722605849.380068,24.6|25.1|26.1,pContactMgrV20
1722605849.880168,24.6|25.1|26.1,pContactMgrV20
