time,NAME,X,Y,SPD,HDG,TYPE,COLOR,MODE,ALLSTOP,test,TIME,LENGTH,src
1722605822.070138,abe,35.24,13.73,0.01,49.82,kayak,gray70,MALCONFIG,n/a,1722605822.07,4,pNodeReporter
1722605822.070138,abe,35.24,13.73,0.01,49.82,kayak,gray70,MALCONFIG,n/a,1722605822.07,4,pNodeReporter
1722605822.070138,abe,35.24,13.73,0.01,49.82,kayak,gray70,MALCONFIG,n/a,1722605822.07,4,pNodeReporter
1722605825.085408,abe,35.21,13.71,0,48.61,kayak,gray70,MALCONFIG,n/a,1,1722605825.09,4,pNodeReporter
1722605825.085408,abe,35.21,13.71,0,48.61,kayak,gray70,MALCONFIG,n/a,1,1722605825.09,4,pNodeReporter
1722605828.099148,abe,35.21,13.71,0.01,48.26,kayak,gray70,MALCONFIG,n/a,2,1722605828.1,4,pNodeReporter
1722605831.113338,abe,35.24,13.69,0.01,48.13,kayak,gray70,MALCONFIG,n/a,3,1722605831.11,4,pNodeReporter
1722605831.113338,abe,35.24,13.69,0.01,48.13,kayak,gray70,MALCONFIG,n/a,3,1722605831.11,4,pNodeReporter
1722605831.113338,abe,35.24,13.69,0.01,48.13,kayak,gray70,MALCONFIG,n/a,3,1722605831.11,4,pNodeReporter
1722605834.1287081,abe,35.25,13.65,0.01,48.26,kayak,gray70,MALCONFIG,n/a,4,1722605834.13,4,pNodeReporter
1722605837.144608,abe,35.26,13.63,0.01,48.82,kayak,gray70,MALCONFIG,n/a,5,1722605837.14,4,pNodeReporter
1722605840.160048,abe,35.26,13.58,0.01,48.14,kayak,gray70,MALCONFIG,n/a,6,1722605840.16,4,pNodeReporter
1722605843.174818,abe,35.24,13.52,0,47.78,kayak,gray70,MALCONFIG,n/a,7,1722605843.17,4,pNodeReporter
1722605846.189328,abe,35.18,13.5,0.01,48.71,kayak,gray70,MALCONFIG,n/a,8,1722605846.19,4,pNodeReporter
1722605846.189328,abe,35.18,13.5,0.01,48.71,kayak,gray70,MALCONFIG,n/a,8,1722605846.19,4,pNodeReporter
1722605849.2049282,abe,35.14,13.5,0,46.94,kayak,gray70,MALCONFIG,n/a,9,1722605849.2,4,pNodeReporter
1722605849.2049282,abe,35.14,13.5,0,46.94,kayak,gray70,MALCONFIG,n/a,9,1722605849.2,4,pNodeReporter
1722605852.2203481,abe,35.13,13.49,0,48.3,kayak,gray70,MALCONFIG,n/a,10,1722605852.22,4,pNodeReporter
1722605855.234628,abe,35.11,13.5,0.01,49.9,kayak,gray70,MALCONFIG,n/a,11,1722605855.23,4,pNodeReporter
