time,data,src
1722605824.371277,NA,pContactMgrV20
1722605825.371767,NA,pContactMgrV20
1722605825.371767,NA,pContactMgrV20
1722605826.3721771,NA,pContactMgrV20
1722605826.3721771,NA,pContactMgrV20
1722605827.372647,NA,pContactMgrV20
1722605828.3732672,NA,pContactMgrV20
1722605829.373997,NA,pContactMgrV20
1722605829.373997,NA,pContactMgrV20
1722605830.3746672,NA,pContactMgrV20
1722605831.375447,NA,pContactMgrV20
1722605832.3760571,NA,pContactMgrV20
1722605833.376997,NA,pContactMgrV20
1722605833.376997,NA,pContactMgrV20
1722605834.3800771,vname=abe|range=25.58|age=0.25,pContactMgrV20
1722605835.380597,vname=abe|range=25.57|age=1.25,pContactMgrV20
1722605835.380597,vname=abe|range=25.57|age=1.25,pContactMgrV20
1722605836.3832672,vname=abe|range=25.55|age=2.25#vname=ned|range=1.35|age=2.60,pContactMgrV20
1722605837.3848271,vname=abe|range=25.53|age=0.24#vname=ned|range=1.19|age=0.58,pContactMgrV20
1722605838.3848372,vname=abe|range=25.51|age=1.24#vname=ned|range=1.16|age=1.58,pContactMgrV20
1722605839.386567,vname=abe|range=25.48|age=2.24#vname=ned|range=1.10|age=2.58#vname=oak|range=1.13|age=2.34,pContactMgrV20
1722605840.3885372,vname=abe|range=25.42|age=0.23#vname=ned|range=0.94|age=0.58#vname=oak|range=1.11|age=0.33,pContactMgrV20
1722605841.389157,vname=abe|range=25.40|age=1.23#vname=ned|range=0.90|age=1.58#vname=oak|range=1.10|age=1.33,pContactMgrV20
1722605842.3897371,vname=abe|range=25.37|age=2.23#vname=ned|range=0.86|age=2.58#vname=oak|range=1.11|age=2.33,pContactMgrV20
1722605843.390507,vname=abe|range=25.32|age=0.22#vname=ned|range=0.83|age=0.56#vname=oak|range=1.08|age=0.32,pContactMgrV20
1722605844.389487,vname=abe|range=25.29|age=1.22#vname=ned|range=0.79|age=1.56#vname=oak|range=1.09|age=1.32,pContactMgrV20
1722605845.391107,vname=abe|range=25.26|age=2.22#vname=ned|range=0.78|age=2.56#vname=oak|range=1.12|age=2.32,pContactMgrV20
1722605846.392777,vname=abe|range=25.18|age=0.20#vname=ned|range=0.71|age=0.55#vname=oak|range=1.13|age=0.30,pContactMgrV20
1722605847.396877,vname=abe|range=25.18|age=1.20#vname=ned|range=0.71|age=1.55#vname=oak|range=1.14|age=1.30,pContactMgrV20
1722605848.397617,vname=abe|range=25.17|age=2.20#vname=ned|range=0.72|age=2.55#vname=oak|range=1.16|age=2.30,pContactMgrV20
1722605848.397617,vname=abe|range=25.17|age=2.20#vname=ned|range=0.72|age=2.55#vname=oak|range=1.16|age=2.30,pContactMgrV20
1722605849.400327,vname=abe|range=25.14|age=0.20#vname=ned|range=0.73|age=0.55#vname=oak|range=1.13|age=0.29,pContactMgrV20
1722605849.400327,vname=abe|range=25.14|age=0.20#vname=ned|range=0.73|age=0.55#vname=oak|range=1.13|age=0.29,pContactMgrV20
1722605850.400067,vname=abe|range=25.15|age=1.20#vname=ned|range=0.75|age=1.55#vname=oak|range=1.13|age=1.29,pContactMgrV20
1722605851.401227,vname=abe|range=25.16|age=2.20#vname=ned|range=0.78|age=2.55#vname=oak|range=1.15|age=2.29,pContactMgrV20
1722605852.4027371,vname=abe|range=25.16|age=0.18#vname=ned|range=0.78|age=0.54#vname=oak|range=1.09|age=0.27,pContactMgrV20
1722605853.404037,vname=abe|range=25.18|age=1.18#vname=ned|range=0.81|age=1.54#vname=oak|range=1.07|age=1.27,pContactMgrV20
1722605854.403337,vname=abe|range=25.20|age=2.18#vname=ned|range=0.84|age=2.54#vname=oak|range=1.07|age=2.27,pContactMgrV20
1722605855.405227,vname=abe|range=25.19|age=0.17#vname=ned|range=0.94|age=0.53#vname=oak|range=1.11|age=0.26,pContactMgrV20
1722605856.406877,vname=abe|range=25.23|age=1.18#vname=ned|range=1.00|age=1.54#vname=oak|range=1.10|age=1.27,pContactMgrV20
1722605857.4109972,vname=abe|range=25.24|age=2.18#vname=ned|range=1.02|age=2.54#vname=oak|range=1.10|age=2.27,pContactMgrV20
1722605858.412687,vname=abe|range=25.29|age=0.16#vname=ned|range=1.17|age=0.53#vname=oak|range=1.14|age=0.25,pContactMgrV20
1722605859.4148672,vname=abe|range=25.29|age=1.16#vname=ned|range=1.17|age=1.53#vname=oak|range=1.14|age=1.25,pContactMgrV20
1722605860.414797,vname=abe|range=25.30|age=2.16#vname=ned|range=1.19|age=2.53#vname=oak|range=1.15|age=2.25,pContactMgrV20
1722605861.416387,vname=abe|range=25.36|age=0.15#vname=ned|range=1.20|age=0.52#vname=oak|range=1.14|age=0.23,pContactMgrV20
1722605862.4175072,vname=abe|range=25.38|age=1.15#vname=ned|range=1.24|age=1.52#vname=oak|range=1.15|age=1.23,pContactMgrV20
1722605863.4187272,vname=abe|range=25.41|age=2.16#vname=ned|range=1.26|age=2.53#vname=oak|range=1.12|age=2.24,pContactMgrV20
1722605864.4181771,vname=abe|range=25.45|age=0.14#vname=ned|range=1.26|age=0.52#vname=oak|range=1.12|age=0.22,pContactMgrV20
1722605865.423237,vname=abe|range=25.48|age=1.14#vname=ned|range=1.28|age=1.52#vname=oak|range=1.11|age=1.22,pContactMgrV20
1722605866.424277,vname=abe|range=25.50|age=2.14#vname=ned|range=1.30|age=2.52#vname=oak|range=1.09|age=2.22,pContactMgrV20
1722605867.426137,vname=abe|range=25.52|age=0.50#vname=ned|range=1.40|age=0.51#vname=oak|range=1.12|age=0.21,pContactMgrV20
1722605868.424647,vname=abe|range=25.50|age=0.12#vname=ned|range=1.40|age=1.51#vname=oak|range=1.11|age=1.21,pContactMgrV20
1722605869.428667,vname=abe|range=25.51|age=1.12#vname=ned|range=1.37|age=2.51#vname=oak|range=1.08|age=2.21,pContactMgrV20
1722605870.429167,vname=abe|range=25.51|age=2.13#vname=ned|range=1.37|age=0.51#vname=oak|range=1.13|age=0.20,pContactMgrV20
1722605871.430067,vname=abe|range=25.47|age=0.50#vname=ned|range=1.36|age=1.51#vname=oak|range=1.11|age=1.20,pContactMgrV20
1722605872.429527,vname=abe|range=25.44|age=1.50#vname=ned|range=1.30|age=2.51#vname=oak|range=1.11|age=2.20,pContactMgrV20
1722605873.431227,vname=abe|range=25.44|age=2.50#vname=ned|range=1.25|age=0.49#vname=oak|range=1.14|age=0.18,pContactMgrV20
1722605874.4327672,vname=abe|range=25.35|age=0.48#vname=ned|range=1.20|age=1.49#vname=oak|range=1.14|age=1.18,pContactMgrV20
1722605875.434317,vname=abe|range=25.34|age=1.48#vname=ned|range=1.16|age=2.49#vname=oak|range=1.14|age=2.18,pContactMgrV20
1722605876.435967,vname=abe|range=25.32|age=2.48#vname=ned|range=1.11|age=0.49#vname=oak|range=1.26|age=0.17,pContactMgrV20
1722605877.439827,vname=abe|range=25.24|age=0.48#vname=ned|range=1.06|age=1.50#vname=oak|range=1.26|age=1.18,pContactMgrV20
1722605878.441127,vname=abe|range=25.25|age=1.48#vname=ned|range=1.03|age=2.50#vname=oak|range=1.25|age=2.18,pContactMgrV20
1722605879.441067,vname=abe|range=25.22|age=2.48#vname=ned|range=0.96|age=0.48#vname=oak|range=1.28|age=3.18,pContactMgrV20
