time,data,src
1722605824.371277,NA,pContactMgrV20
1722605824.8714871,NA,pContactMgrV20
1722605825.371777,NA,pContactMgrV20
1722605825.371777,NA,pContactMgrV20
1722605825.871977,NA,pContactMgrV20
1722605826.3721871,NA,pContactMgrV20
1722605826.8723872,NA,pContactMgrV20
1722605826.8723872,NA,pContactMgrV20
1722605827.372647,NA,pContactMgrV20
1722605827.872957,NA,pContactMgrV20
1722605828.373277,NA,pContactMgrV20
1722605828.8736072,NA,pContactMgrV20
1722605829.374007,NA,pContactMgrV20
1722605829.374007,NA,pContactMgrV20
1722605829.8743172,NA,pContactMgrV20
1722605830.374677,NA,pContactMgrV20
1722605830.8749971,NA,pContactMgrV20
1722605831.375467,NA,pContactMgrV20
1722605831.875757,NA,pContactMgrV20
1722605832.3760672,NA,pContactMgrV20
1722605832.8763871,NA,pContactMgrV20
1722605833.377007,NA,pContactMgrV20
1722605833.8777971,NA,pContactMgrV20
1722605833.8777971,NA,pContactMgrV20
1722605834.3800972,25.6,pContactMgrV20
1722605834.879717,25.6,pContactMgrV20
1722605835.3806171,25.6,pContactMgrV20
1722605835.3806171,25.6,pContactMgrV20
1722605835.881427,25.6,pContactMgrV20
1722605836.383297,1.3|25.5,pContactMgrV20
1722605836.8830771,1.3|25.5,pContactMgrV20
1722605837.384867,1.2|25.5,pContactMgrV20
1722605837.884217,1.2|25.5,pContactMgrV20
1722605838.384897,1.2|25.5,pContactMgrV20
1722605838.885107,1.1|25.5,pContactMgrV20
1722605839.3865871,1.1|1.1|25.5,pContactMgrV20
1722605839.888217,1.1|1.1|25.5,pContactMgrV20
1722605840.388567,0.9|1.1|25.4,pContactMgrV20
1722605840.8881571,0.9|1.1|25.4,pContactMgrV20
1722605841.389197,0.9|1.1|25.4,pContactMgrV20
1722605841.889377,0.9|1.1|25.4,pContactMgrV20
1722605842.389997,0.9|1.1|25.4,pContactMgrV20
1722605842.889527,0.8|1.1|25.4,pContactMgrV20
1722605843.390557,0.8|1.1|25.3,pContactMgrV20
1722605843.890757,0.8|1.1|25.3,pContactMgrV20
1722605844.389507,0.8|1.1|25.3,pContactMgrV20
1722605844.8902872,0.8|1.1|25.3,pContactMgrV20
1722605845.391127,0.8|1.1|25.3,pContactMgrV20
1722605845.8918471,0.8|1.1|25.2,pContactMgrV20
1722605846.392797,0.7|1.1|25.2,pContactMgrV20
1722605846.893547,0.7|1.1|25.2,pContactMgrV20
1722605847.3969471,0.7|1.1|25.2,pContactMgrV20
1722605847.897557,0.7|1.1|25.2,pContactMgrV20
1722605848.397677,0.7|1.2|25.2,pContactMgrV20
1722605848.397677,0.7|1.2|25.2,pContactMgrV20
1722605848.8987072,0.7|1.2|25.2,pContactMgrV20
1722605849.400417,0.7|1.1|25.1,pContactMgrV20
1722605849.400417,0.7|1.1|25.1,pContactMgrV20
1722605849.9006271,0.7|1.1|25.2,pContactMgrV20
1722605850.4001071,0.7|1.1|25.2,pContactMgrV20
1722605850.9006171,0.8|1.1|25.2,pContactMgrV20
1722605851.401277,0.8|1.1|25.2,pContactMgrV20
1722605851.9013271,0.8|1.1|25.2,pContactMgrV20
1722605852.402777,0.8|1.1|25.2,pContactMgrV20
1722605852.9032671,0.8|1.1|25.2,pContactMgrV20
1722605853.404087,0.8|1.1|25.2,pContactMgrV20
1722605853.904617,0.8|1.1|25.2,pContactMgrV20
1722605854.403357,0.8|1.1|25.2,pContactMgrV20
1722605854.9041271,0.8|1.1|25.2,pContactMgrV20
1722605855.405257,0.9|1.1|25.2,pContactMgrV20
1722605855.9060771,1|1.1|25.2,pContactMgrV20
1722605856.406907,1|1.1|25.2,pContactMgrV20
1722605856.907737,1|1.1|25.2,pContactMgrV20
1722605857.4117072,1|1.1|25.2,pContactMgrV20
1722605857.9122171,1|1.1|25.2,pContactMgrV20
