time,NAME,X,Y,SPD,HDG,TYPE,COLOR,MODE,ALLSTOP,test,TIME,LENGTH,src
1722605824.814687,max,13.22,0.59,0,158.02,kayak,gray70,MALCONFIG,n/a,1722605824.81,4,pNodeReporter
1722605824.814687,max,13.22,0.59,0,158.02,kayak,gray70,MALCONFIG,n/a,1722605824.81,4,pNodeReporter
1722605824.814687,max,13.22,0.59,0,158.02,kayak,gray70,MALCONFIG,n/a,1722605824.81,4,pNodeReporter
1722605827.823487,max,13.13,0.72,0,158.02,kayak,gray70,MALCONFIG,n/a,1,1722605827.82,4,pNodeReporter
1722605827.823487,max,13.13,0.72,0,158.02,kayak,gray70,MALCONFIG,n/a,1,1722605827.82,4,pNodeReporter
1722605830.8405771,max,13.06,0.82,0,158.02,kayak,gray70,MALCONFIG,n/a,2,1722605830.84,4,pNodeReporter
1722605833.855737,max,13.05,0.93,0.01,158.02,kayak,gray70,MALCONFIG,n/a,3,1722605833.86,4,pNodeReporter
1722605833.855737,max,13.05,0.93,0.01,158.02,kayak,gray70,MALCONFIG,n/a,3,1722605833.86,4,pNodeReporter
1722605833.855737,max,13.05,0.93,0.01,158.02,kayak,gray70,MALCONFIG,n/a,3,1722605833.86,4,pNodeReporter
1722605836.8709872,max,13.03,1.06,0.01,158.02,kayak,gray70,MALCONFIG,n/a,4,1722605836.87,4,pNodeReporter
1722605839.886177,max,13.05,1.2,0.01,158.02,kayak,gray70,MALCONFIG,n/a,5,1722605839.89,4,pNodeReporter
1722605842.900677,max,13.06,1.32,0,158.02,kayak,gray70,MALCONFIG,n/a,6,1722605842.9,4,pNodeReporter
1722605845.911287,max,13.11,1.37,0.01,158.02,kayak,gray70,MALCONFIG,n/a,7,1722605845.91,4,pNodeReporter
1722605845.911287,max,13.11,1.37,0.01,158.02,kayak,gray70,MALCONFIG,n/a,7,1722605845.91,4,pNodeReporter
1722605848.924897,max,13.14,1.32,0,158.02,kayak,gray70,MALCONFIG,n/a,8,1722605848.92,4,pNodeReporter
1722605848.924897,max,13.14,1.32,0,158.02,kayak,gray70,MALCONFIG,n/a,8,1722605848.92,4,pNodeReporter
