time,data,src
1722605827.315476,NA,pContactMgrV20
1722605828.316056,NA,pContactMgrV20
1722605828.316056,NA,pContactMgrV20
1722605829.316456,NA,pContactMgrV20
1722605829.316456,NA,pContactMgrV20
1722605830.316906,NA,pContactMgrV20
1722605831.317506,NA,pContactMgrV20
1722605832.318216,NA,pContactMgrV20
1722605832.318216,NA,pContactMgrV20
1722605833.3187761,NA,pContactMgrV20
1722605834.319556,NA,pContactMgrV20
1722605835.320166,NA,pContactMgrV20
1722605836.3210561,NA,pContactMgrV20
1722605836.3210561,NA,pContactMgrV20
1722605837.325426,vname=abe|range=24.70|age=0.18#vname=max|range=1.18|age=0.45,pContactMgrV20
1722605838.326636,vname=abe|range=24.70|age=1.18#vname=max|range=1.13|age=1.45,pContactMgrV20
1722605838.326636,vname=abe|range=24.70|age=1.18#vname=max|range=1.13|age=1.45,pContactMgrV20
1722605839.327336,vname=abe|range=24.71|age=2.19#vname=max|range=1.12|age=2.46,pContactMgrV20
1722605840.3301861,vname=abe|range=24.68|age=0.17#vname=max|range=0.97|age=0.44#vname=oak|range=1.60|age=0.27,pContactMgrV20
1722605841.330776,vname=abe|range=24.69|age=1.17#vname=max|range=0.94|age=1.44#vname=oak|range=1.60|age=1.27,pContactMgrV20
1722605842.332326,vname=abe|range=24.67|age=2.17#vname=max|range=0.93|age=2.44#vname=oak|range=1.61|age=2.27,pContactMgrV20
1722605843.333646,vname=abe|range=24.66|age=3.17#vname=max|range=0.83|age=0.43#vname=oak|range=1.62|age=0.26,pContactMgrV20
1722605844.3352861,vname=abe|range=24.62|age=1.16#vname=max|range=0.81|age=1.43#vname=oak|range=1.61|age=1.26,pContactMgrV20
1722605845.335026,vname=abe|range=24.63|age=2.16#vname=max|range=0.79|age=2.43#vname=oak|range=1.60|age=2.26,pContactMgrV20
1722605846.336566,vname=abe|range=24.58|age=0.14#vname=max|range=0.71|age=0.42#vname=oak|range=1.58|age=0.24,pContactMgrV20
1722605847.337786,vname=abe|range=24.59|age=1.14#vname=max|range=0.70|age=1.42#vname=oak|range=1.57|age=1.24,pContactMgrV20
1722605848.337256,vname=abe|range=24.58|age=2.15#vname=max|range=0.69|age=2.43#vname=oak|range=1.57|age=2.25,pContactMgrV20
1722605848.337256,vname=abe|range=24.58|age=2.15#vname=max|range=0.69|age=2.43#vname=oak|range=1.57|age=2.25,pContactMgrV20
1722605849.338866,vname=abe|range=24.57|age=0.14#vname=max|range=0.70|age=0.42#vname=oak|range=1.54|age=0.23,pContactMgrV20
1722605850.340456,vname=abe|range=24.57|age=1.14#vname=max|range=0.70|age=1.42#vname=oak|range=1.54|age=1.23,pContactMgrV20
