time,data,src
1722605827.315486,NA,pContactMgrV20
1722605827.8157861,NA,pContactMgrV20
1722605828.316056,NA,pContactMgrV20
1722605828.316056,NA,pContactMgrV20
1722605828.816256,NA,pContactMgrV20
1722605829.316456,NA,pContactMgrV20
1722605829.816656,NA,pContactMgrV20
1722605829.816656,NA,pContactMgrV20
1722605830.316906,NA,pContactMgrV20
1722605830.8171961,NA,pContactMgrV20
1722605831.317516,NA,pContactMgrV20
1722605831.817816,NA,pContactMgrV20
1722605832.318226,NA,pContactMgrV20
1722605832.318226,NA,pContactMgrV20
1722605832.818516,NA,pContactMgrV20
1722605833.3187861,NA,pContactMgrV20
1722605833.819096,NA,pContactMgrV20
1722605834.319596,NA,pContactMgrV20
1722605834.819876,NA,pContactMgrV20
1722605835.3201761,NA,pContactMgrV20
1722605835.820476,NA,pContactMgrV20
1722605836.3210661,NA,pContactMgrV20
1722605836.821896,NA,pContactMgrV20
1722605836.821896,NA,pContactMgrV20
1722605837.3254461,1.2|24.7,pContactMgrV20
1722605837.8256261,1.1|24.7,pContactMgrV20
1722605838.3266761,1.1|24.7,pContactMgrV20
1722605838.3266761,1.1|24.7,pContactMgrV20
1722605838.826826,1.1|24.7,pContactMgrV20
1722605839.327356,1.1|24.7,pContactMgrV20
1722605839.829226,1.1|1.6|24.7,pContactMgrV20
1722605840.330226,1|1.6|24.7,pContactMgrV20
1722605840.830466,1|1.6|24.7,pContactMgrV20
1722605841.330806,0.9|1.6|24.7,pContactMgrV20
1722605841.832146,0.9|1.6|24.7,pContactMgrV20
1722605842.332376,0.9|1.6|24.7,pContactMgrV20
1722605842.832906,0.9|1.6|24.7,pContactMgrV20
1722605843.3336961,0.8|1.6|24.7,pContactMgrV20
1722605843.8350961,0.8|1.6|24.6,pContactMgrV20
1722605844.335606,0.8|1.6|24.6,pContactMgrV20
1722605844.8345761,0.8|1.6|24.6,pContactMgrV20
1722605845.335076,0.8|1.6|24.6,pContactMgrV20
1722605845.835556,0.8|1.6|24.6,pContactMgrV20
1722605846.336606,0.7|1.6|24.6,pContactMgrV20
1722605846.837116,0.7|1.6|24.6,pContactMgrV20
1722605847.337836,0.7|1.6|24.6,pContactMgrV20
1722605847.838366,0.7|1.6|24.6,pContactMgrV20
1722605848.337296,0.7|1.6|24.6,pContactMgrV20
1722605848.838006,0.7|1.6|24.6,pContactMgrV20
1722605848.838006,0.7|1.6|24.6,pContactMgrV20
1722605849.338886,0.7|1.5|24.6,pContactMgrV20
1722605849.839626,0.7|1.5|24.6,pContactMgrV20
1722605850.340486,0.7|1.5|24.6,pContactMgrV20
1722605850.340486,0.7|1.5|24.6,pContactMgrV20
1722605850.841196,0.7|1.5|24.6,pContactMgrV20
1722605851.341916,0.7|1.5|24.6,pContactMgrV20
1722605851.341916,0.7|1.5|24.6,pContactMgrV20
1722605851.8426461,0.7|1.5|24.6,pContactMgrV20
1722605852.343596,0.8|1.5|24.6,pContactMgrV20
1722605852.844396,0.8|1.5|24.6,pContactMgrV20
1722605853.347506,0.8|1.5|24.6,pContactMgrV20
1722605853.847066,0.8|1.5|24.6,pContactMgrV20
1722605854.347716,0.8|1.5|24.6,pContactMgrV20
1722605854.846496,0.9|1.5|24.6,pContactMgrV20
1722605855.347336,1|1.5|24.6,pContactMgrV20
1722605855.848256,1|1.6|24.6,pContactMgrV20
1722605856.349136,1|1.6|24.6,pContactMgrV20
1722605856.849876,1|1.6|24.6,pContactMgrV20
1722605857.350586,1|1.6|24.6,pContactMgrV20
1722605857.851286,1|1.6|24.6,pContactMgrV20
1722605858.352566,1.2|1.6|24.6,pContactMgrV20
1722605858.852336,1.2|1.6|24.6,pContactMgrV20
1722605859.353086,1.2|1.6|24.6,pContactMgrV20
1722605859.855496,1.2|1.6|24.6,pContactMgrV20
1722605860.3561761,1.2|1.6|24.6,pContactMgrV20
1722605860.856676,1.2|1.6|24.7,pContactMgrV20
1722605861.3582861,1.2|1.6|24.7,pContactMgrV20
1722605861.858026,1.2|1.6|24.7,pContactMgrV20
1722605862.356946,1.2|1.6|24.7,pContactMgrV20
1722605862.857666,1.2|1.6|24.7,pContactMgrV20
1722605863.358396,1.2|1.6|24.7,pContactMgrV20
1722605863.859106,1.2|1.6|24.7,pContactMgrV20
1722605864.360226,1.3|1.7|24.7,pContactMgrV20
1722605864.859996,1.3|1.7|24.7,pContactMgrV20
1722605865.3607461,1.3|1.7|24.7,pContactMgrV20
1722605865.861466,1.3|1.7|24.7,pContactMgrV20
1722605866.362346,1.3|1.7|24.7,pContactMgrV20
1722605866.863066,1.3|1.7|24.7,pContactMgrV20
1722605867.365986,1.4|1.8|24.7,pContactMgrV20
1722605867.8665261,1.4|1.8|24.7,pContactMgrV20
1722605868.368726,1.4|1.8|24.7,pContactMgrV20
1722605868.868176,1.4|1.8|24.7,pContactMgrV20
1722605869.368476,1.4|1.8|24.7,pContactMgrV20
1722605869.8689861,1.4|1.8|24.7,pContactMgrV20
1722605870.370376,1.4|1.8|24.7,pContactMgrV20
1722605870.870026,1.4|1.8|24.8,pContactMgrV20
1722605871.371496,1.4|1.8|24.7,pContactMgrV20
1722605871.871166,1.4|1.8|24.7,pContactMgrV20
1722605872.370106,1.4|1.8|24.7,pContactMgrV20
1722605872.870836,1.4|1.8|24.7,pContactMgrV20
1722605873.371686,1.2|1.9|24.7,pContactMgrV20
1722605873.872446,1.3|1.9|24.7,pContactMgrV20
1722605874.373406,1.2|1.9|24.7,pContactMgrV20
1722605874.874136,1.3|1.9|24.6,pContactMgrV20
1722605875.374926,1.3|1.9|24.6,pContactMgrV20
1722605875.875686,1.3|1.9|24.6,pContactMgrV20
1722605876.376676,1.1|2.1|24.6,pContactMgrV20
1722605876.877466,1.2|2.1|24.6,pContactMgrV20
1722605877.380086,1.2|2.1|24.5,pContactMgrV20
1722605877.8805761,1.2|2.1|24.5,pContactMgrV20
1722605878.3812761,1.1|2.1|24.5,pContactMgrV20
1722605878.882106,1.1|2.1|24.5,pContactMgrV20
1722605879.383086,1|2.1|24.5,pContactMgrV20
1722605879.881916,1|2.3|24.5,pContactMgrV20
1722605880.382836,1|2.3|24.4,pContactMgrV20
1722605880.8835561,1|2.3|24.4,pContactMgrV20
1722605881.384366,1|2.3|24.4,pContactMgrV20
1722605881.885156,1|2.3|24.3,pContactMgrV20
1722605882.386056,0.9|2.3|24.3,pContactMgrV20
1722605882.886876,0.9|2.5|24.3,pContactMgrV20
1722605883.387756,0.9|2.5|24.3,pContactMgrV20
1722605883.888516,0.9|2.5|24.2,pContactMgrV20
1722605884.389396,0.9|2.5|24.2,pContactMgrV20
1722605884.891896,0.9|2.5|24.2,pContactMgrV20
1722605885.392556,0.8|2.5|24.2,pContactMgrV20
1722605885.893236,0.8|2.6|24.2,pContactMgrV20
1722605886.394216,0.8|2.6|24.2,pContactMgrV20
1722605886.894696,0.8|2.6|24.2,pContactMgrV20
1722605887.393526,0.8|2.6|24.2,pContactMgrV20
1722605887.894226,0.8|2.6|24.1,pContactMgrV20
1722605888.395186,0.8|2.6|24.1,pContactMgrV20
1722605888.896056,0.8|2.6|24.1,pContactMgrV20
1722605889.396876,0.8|2.6|24.1,pContactMgrV20
1722605889.8976161,0.8|2.6|24.1,pContactMgrV20
1722605890.398516,0.8|2.6|24.1,pContactMgrV20
1722605890.899236,0.8|2.6|24.1,pContactMgrV20
1722605891.400096,0.8|2.6|24.1,pContactMgrV20
1722605891.900926,0.8|2.7|24.1,pContactMgrV20
1722605892.403986,0.8|2.7|24.1,pContactMgrV20
1722605892.904526,0.8|2.7|24.1,pContactMgrV20
1722605893.405536,0.8|2.7|24.1,pContactMgrV20
1722605893.905656,0.8|2.7|24.1,pContactMgrV20
1722605894.406546,0.8|2.7|24.1,pContactMgrV20
1722605894.905346,0.8|2.7|24.1,pContactMgrV20
1722605895.406146,0.9|2.7|24.2,pContactMgrV20
1722605895.906856,0.9|2.7|24.2,pContactMgrV20
1722605896.407746,0.9|2.7|24.2,pContactMgrV20
1722605896.908476,0.9|2.7|24.2,pContactMgrV20
1722605897.409286,0.9|2.7|24.2,pContactMgrV20
1722605897.910186,0.9|2.6|24.2,pContactMgrV20
1722605898.411076,0.8|2.6|24.3,pContactMgrV20
1722605898.9118161,0.8|2.6|24.3,pContactMgrV20
1722605899.412616,0.8|2.6|24.3,pContactMgrV20
1722605899.915116,0.8|2.6|24.3,pContactMgrV20
1722605900.416316,0.8|2.6|24.3,pContactMgrV20
1722605900.917026,0.9|2.5|24.3,pContactMgrV20
1722605901.417696,0.8|2.5|24.4,pContactMgrV20
1722605901.918226,0.8|2.5|24.4,pContactMgrV20
1722605902.417186,0.8|2.5|24.4,pContactMgrV20
1722605902.917896,0.8|2.6|24.4,pContactMgrV20
1722605903.418696,0.9|2.6|24.4,pContactMgrV20
1722605903.919486,0.9|2.4|24.4,pContactMgrV20
1722605904.420466,0.9|2.4|24.5,pContactMgrV20
1722605904.921186,0.9|2.4|24.5,pContactMgrV20
1722605905.421896,0.9|2.4|24.5,pContactMgrV20
1722605905.922556,0.9|2.4|24.6,pContactMgrV20
1722605906.423426,0.8|2.3|24.6,pContactMgrV20
1722605906.924226,0.8|2.1|24.6,pContactMgrV20
1722605907.426886,0.8|2.1|24.6,pContactMgrV20
1722605907.927746,0.8|2.1|24.6,pContactMgrV20
1722605908.429236,0.8|2.1|24.6,pContactMgrV20
1722605908.9283361,0.8|2.1|24.6,pContactMgrV20
1722605909.429046,0.9|2.1|24.6,pContactMgrV20
1722605909.927876,0.9|2|24.7,pContactMgrV20
1722605910.428816,0.9|1.9|24.7,pContactMgrV20
1722605910.929526,0.9|1.9|24.7,pContactMgrV20
1722605911.430246,0.9|1.9|24.7,pContactMgrV20
1722605911.931056,0.9|1.9|24.7,pContactMgrV20
1722605912.432046,1|1.9|24.7,pContactMgrV20
1722605912.932876,1|1.8|24.7,pContactMgrV20
1722605913.433676,1|1.8|24.7,pContactMgrV20
1722605913.934396,1|1.8|24.7,pContactMgrV20
1722605914.435226,1|1.8|24.7,pContactMgrV20
1722605914.937796,1|1.8|24.7,pContactMgrV20
1722605915.438466,1|1.8|24.7,pContactMgrV20
1722605915.9390461,1|1.7|24.7,pContactMgrV20
1722605916.439776,1|1.7|24.7,pContactMgrV20
1722605916.940256,0.9|1.7|24.7,pContactMgrV20
1722605917.439006,0.9|1.7|24.7,pContactMgrV20
1722605917.939796,0.9|1.7|24.7,pContactMgrV20
1722605918.440826,0.8|1.7|24.7,pContactMgrV20
1722605918.941616,0.8|1.6|24.7,pContactMgrV20
1722605919.442346,0.8|1.6|24.7,pContactMgrV20
1722605919.943056,0.8|1.6|24.7,pContactMgrV20
1722605920.443916,0.7|1.6|24.7,pContactMgrV20
1722605920.944716,0.7|1.6|24.7,pContactMgrV20
1722605921.445506,0.5|1.7|24.6,pContactMgrV20
1722605921.946276,0.4|1.7|24.6,pContactMgrV20
1722605922.448926,0.4|1.7|24.6,pContactMgrV20
1722605922.949546,0.4|1.7|24.6,pContactMgrV20
1722605923.450196,0.4|1.7|24.6,pContactMgrV20
1722605923.952086,0.1|1.7|24.7,pContactMgrV20
1722605924.4521961,0.1|1.7|24.7,pContactMgrV20
1722605924.950656,0.1|1.8|24.7,pContactMgrV20
1722605925.451356,0.1|1.8|24.7,pContactMgrV20
1722605925.952276,0.1|1.7|24.7,pContactMgrV20
1722605926.453116,0.1|1.7|24.8,pContactMgrV20
1722605926.953906,0.2|1.7|24.8,pContactMgrV20
1722605927.4546661,0.2|1.7|24.8,pContactMgrV20
1722605927.955426,0.2|1.7|24.8,pContactMgrV20
1722605928.4564161,0.2|1.7|24.8,pContactMgrV20
1722605928.957186,0.2|1.7|24.8,pContactMgrV20
1722605929.457926,0.2|1.7|24.8,pContactMgrV20
1722605929.960506,0.5|1.7|24.8,pContactMgrV20
1722605930.461596,0.5|1.7|24.8,pContactMgrV20
1722605930.962846,0.5|1.6|24.8,pContactMgrV20
1722605931.4625661,0.5|1.6|24.8,pContactMgrV20
1722605931.963226,0.5|1.6|24.8,pContactMgrV20
1722605932.464096,0.7|1.6|24.9,pContactMgrV20
1722605932.964166,0.8|1.6|24.9,pContactMgrV20
1722605933.466206,0.8|1.6|24.9,pContactMgrV20
1722605933.966586,0.8|1.6|24.9,pContactMgrV20
1722605934.466806,0.8|1.6|24.9,pContactMgrV20
1722605934.967286,0.8|1.6|24.9,pContactMgrV20
1722605935.467976,0.9|1.6|24.9,pContactMgrV20
1722605935.968476,0.9|1.5|24.9,pContactMgrV20
1722605936.469546,0.9|1.5|24.9,pContactMgrV20
1722605936.969546,0.9|1.5|24.9,pContactMgrV20
1722605937.4701061,0.9|1.5|25,pContactMgrV20
1722605937.970596,0.9|1.5|25,pContactMgrV20
1722605938.471786,1.1|1.5|25,pContactMgrV20
1722605938.971226,1.1|1.5|25,pContactMgrV20
1722605939.471826,1.1|1.5|25,pContactMgrV20
1722605939.9725661,1.2|1.6|25,pContactMgrV20
1722605940.473376,1.2|1.6|25,pContactMgrV20
1722605940.973926,1.2|1.6|25,pContactMgrV20
1722605941.474576,1.4|1.6|25,pContactMgrV20
1722605941.974976,1.4|1.6|25.1,pContactMgrV20
1722605942.475636,1.4|1.6|25.1,pContactMgrV20
1722605942.976366,1.4|1.7|25.1,pContactMgrV20
1722605943.477156,1.4|1.7|25,pContactMgrV20
1722605943.977326,1.4|1.7|25.1,pContactMgrV20
1722605944.478276,1.4|1.7|25.1,pContactMgrV20
1722605944.978906,1.6|1.7|25.1,pContactMgrV20
1722605945.479226,1.6|1.7|25.1,pContactMgrV20
1722605945.979966,1.6|1.8|25.1,pContactMgrV20
1722605946.480626,1.6|1.8|25.1,pContactMgrV20
1722605946.982456,1.6|1.8|25.1,pContactMgrV20
1722605947.481826,1.6|1.7|25.1,pContactMgrV20
1722605947.982306,1.6|1.7|25.1,pContactMgrV20
1722605948.483016,1.6|1.7|25.2,pContactMgrV20
1722605948.983746,1.6|1.8|25.2,pContactMgrV20
1722605949.4843361,1.6|1.8|25.3,pContactMgrV20
1722605949.984846,1.6|1.8|25.2,pContactMgrV20
1722605950.485686,1.5|1.8|25.3,pContactMgrV20
1722605950.986166,1.5|1.8|25.3,pContactMgrV20
1722605951.486756,1.5|1.8|25.3,pContactMgrV20
1722605951.987606,1.5|1.8|25.3,pContactMgrV20
1722605952.488486,1.5|1.8|25.3,pContactMgrV20
1722605952.988966,1.5|1.8|25.3,pContactMgrV20
1722605953.4896061,1.6|1.9|25.3,pContactMgrV20
1722605953.990186,1.5|1.9|25.3,pContactMgrV20
1722605954.490916,1.5|1.9|25.3,pContactMgrV20
1722605954.9915261,1.5|1.9|25.3,pContactMgrV20
1722605955.492336,1.5|1.9|25.3,pContactMgrV20
1722605955.992426,1.6|1.9|25.3,pContactMgrV20
1722605956.494146,1.6|2|25.4,pContactMgrV20
1722605956.994786,1.5|2|25.4,pContactMgrV20
1722605957.495476,1.5|2|25.4,pContactMgrV20
1722605957.995716,1.5|1.9|25.4,pContactMgrV20
1722605958.496736,1.5|1.9|25.4,pContactMgrV20
1722605958.997566,1.5|1.9|25.4,pContactMgrV20
1722605959.499846,1.4|1.9|25.4,pContactMgrV20
1722605959.9987261,1.4|1.9|25.4,pContactMgrV20
1722605960.4989161,1.4|1.9|25.4,pContactMgrV20
1722605960.999686,1.4|1.8|25.4,pContactMgrV20
1722605961.500366,1.4|1.8|25.4,pContactMgrV20
1722605962.000956,1.4|1.8|25.4,pContactMgrV20
1722605962.5018961,1.1|1.7|25.4,pContactMgrV20
1722605963.001946,1.1|1.7|25.4,pContactMgrV20
1722605963.5038261,1.1|1.7|25.4,pContactMgrV20
1722605964.004636,1.1|1.6|25.5,pContactMgrV20
1722605964.5053961,1.1|1.6|25.5,pContactMgrV20
1722605965.005916,1.1|1.6|25.5,pContactMgrV20
1722605965.506726,1|1.6|25.4,pContactMgrV20
1722605966.007186,1|1.6|25.4,pContactMgrV20
1722605966.508436,1|1.5|25.4,pContactMgrV20
1722605967.008536,1|1.5|25.4,pContactMgrV20
1722605967.509146,1|1.5|25.5,pContactMgrV20
1722605968.009746,1|1.5|25.5,pContactMgrV20
1722605968.510706,0.8|1.5|25.4,pContactMgrV20
1722605969.011346,0.8|1.4|25.4,pContactMgrV20
1722605969.511966,0.8|1.4|25.4,pContactMgrV20
1722605970.012456,0.9|1.4|25.5,pContactMgrV20
1722605970.513146,0.9|1.4|25.4,pContactMgrV20
1722605971.0138261,0.9|1.4|25.5,pContactMgrV20
1722605971.514766,0.6|1.3|25.5,pContactMgrV20
1722605972.015786,0.6|1.3|25.4,pContactMgrV20
1722605972.516746,0.6|1.3|25.5,pContactMgrV20
1722605973.017356,0.6|1.3|25.5,pContactMgrV20
1722605973.519196,0.6|1.3|25.5,pContactMgrV20
1722605974.018166,0.6|1.3|25.5,pContactMgrV20
1722605974.519126,0.4|1.3|25.4,pContactMgrV20
1722605975.0178661,0.4|1.3|25.4,pContactMgrV20
1722605975.518626,0.4|1.3|25.4,pContactMgrV20
1722605976.019346,0.4|1.3|25.4,pContactMgrV20
1722605976.520296,0.4|1.3|25.4,pContactMgrV20
1722605977.021186,0.4|1.2|25.4,pContactMgrV20
1722605977.522066,0.2|1.2|25.4,pContactMgrV20
1722605978.022806,0.2|1.2|25.4,pContactMgrV20
1722605978.523726,0.2|1.2|25.4,pContactMgrV20
1722605979.024686,0.2|1.2|25.4,pContactMgrV20
1722605979.525456,0.2|1.2|25.4,pContactMgrV20
1722605980.0280461,0.2|1.2|25.4,pContactMgrV20
1722605980.529076,0.1|1.2|25.4,pContactMgrV20
1722605981.029656,0.1|1.2|25.4,pContactMgrV20
1722605981.530086,0.1|1.2|25.4,pContactMgrV20
1722605982.030736,0.1|1.2|25.4,pContactMgrV20
1722605982.529646,0.2|1.2|25.4,pContactMgrV20
1722605983.030376,0.2|1.1|25.4,pContactMgrV20
1722605983.531356,0.2|1.1|25.4,pContactMgrV20
1722605984.032116,0.2|1.1|25.5,pContactMgrV20
1722605984.533096,0.2|1.1|25.4,pContactMgrV20
1722605985.033876,0.3|1|25.5,pContactMgrV20
1722605985.534616,0.3|1.1|25.5,pContactMgrV20
1722605986.035346,0.3|1.1|25.5,pContactMgrV20
1722605986.536386,0.3|0.9|25.5,pContactMgrV20
1722605987.037136,0.4|1|25.5,pContactMgrV20
1722605987.539716,0.4|1|25.5,pContactMgrV20
1722605988.039826,0.4|1|25.5,pContactMgrV20
1722605988.5408561,0.4|1|25.5,pContactMgrV20
1722605989.040726,0.5|1|25.5,pContactMgrV20
1722605989.541606,0.5|0.8|25.5,pContactMgrV20
1722605990.042126,0.6|0.9|25.4,pContactMgrV20
1722605990.542856,0.6|0.9|25.5,pContactMgrV20
1722605991.043876,0.7|0.9|25.5,pContactMgrV20
1722605991.544426,0.7|0.9|25.5,pContactMgrV20
1722605992.044966,0.7|1|25.5,pContactMgrV20
1722605992.5440361,0.8|0.9|25.4,pContactMgrV20
1722605993.044796,0.9|0.9|25.4,pContactMgrV20
1722605993.545516,0.9|0.9|25.4,pContactMgrV20
1722605994.046226,0.9|0.9|25.4,pContactMgrV20
1722605994.547236,0.9|0.9|25.4,pContactMgrV20
1722605995.047996,0.9|0.9|25.4,pContactMgrV20
1722605995.548896,0.9|1.1|25.4,pContactMgrV20
1722605996.0496361,0.9|1.1|25.4,pContactMgrV20
1722605996.550466,0.9|1.1|25.4,pContactMgrV20
1722605997.051196,0.9|1.1|25.3,pContactMgrV20
1722605997.554756,0.9|1.1|25.3,pContactMgrV20
1722605998.054336,0.9|1.1|25.3,pContactMgrV20
1722605998.555346,0.8|1.2|25.3,pContactMgrV20
1722605999.0559661,0.8|1.2|25.3,pContactMgrV20
1722605999.556526,0.8|1.2|25.3,pContactMgrV20
1722606000.0552661,0.8|1.2|25.3,pContactMgrV20
1722606000.556156,0.8|1.2|25.3,pContactMgrV20
1722606001.056896,0.8|1.1|25.3,pContactMgrV20
1722606001.557806,0.7|1.2|25.3,pContactMgrV20
1722606002.058526,0.7|1.2|25.3,pContactMgrV20
1722606002.559286,0.7|1.1|25.3,pContactMgrV20
1722606003.060016,0.7|1.1|25.2,pContactMgrV20
1722606003.560776,0.6|1.1|25.2,pContactMgrV20
1722606004.061486,0.7|1.1|25.2,pContactMgrV20
1722606004.562746,0.6|1.1|25.2,pContactMgrV20
