time,NAME,X,Y,SPD,HDG,TYPE,COLOR,MODE,ALLSTOP,TIME,LENGTH,src
1722605827.759066,ned,13.18,2.32,0.02,149.25,kayak,gray70,PARK,ManualOverride,1722605827.76,4,pNodeReporter
1722605827.759066,ned,13.18,2.32,0.02,149.25,kayak,gray70,PARK,ManualOverride,1722605827.76,4,pNodeReporter
1722605827.759066,ned,13.18,2.32,0.02,149.25,kayak,gray70,PARK,ManualOverride,1722605827.76,4,pNodeReporter
1722605830.767826,ned,13.17,2.41,0.01,149.25,kayak,gray70,PARK,ManualOverride,1,1722605830.77,4,pNodeReporter
1722605830.767826,ned,13.17,2.41,0.01,149.25,kayak,gray70,PARK,ManualOverride,1,1722605830.77,4,pNodeReporter
1722605833.781056,ned,13.22,2.37,0.02,149.25,kayak,gray70,PARK,ManualOverride,2,1722605833.78,4,pNodeReporter
1722605836.795376,ned,13.36,2.22,0.01,149.25,kayak,gray70,PARK,ManualOverride,3,1722605836.8,4,pNodeReporter
1722605836.795376,ned,13.36,2.22,0.01,149.25,kayak,gray70,PARK,ManualOverride,3,1722605836.8,4,pNodeReporter
1722605836.795376,ned,13.36,2.22,0.01,149.25,kayak,gray70,PARK,ManualOverride,3,1722605836.8,4,pNodeReporter
1722605839.810846,ned,13.4,2.09,0.02,149.25,kayak,gray70,PARK,ManualOverride,4,1722605839.81,4,pNodeReporter
1722605842.825946,ned,13.46,2.04,0.01,149.25,kayak,gray70,PARK,ManualOverride,5,1722605842.83,4,pNodeReporter
1722605845.839886,ned,13.47,1.98,0.01,149.25,kayak,gray70,PARK,ManualOverride,6,1722605845.84,4,pNodeReporter
1722605848.852186,ned,13.46,1.96,0.02,149.25,kayak,gray70,PARK,ManualOverride,7,1722605848.85,4,pNodeReporter
1722605848.852186,ned,13.46,1.96,0.02,149.25,kayak,gray70,PARK,ManualOverride,7,1722605848.85,4,pNodeReporter
1722605848.852186,ned,13.46,1.96,0.02,149.25,kayak,gray70,PARK,ManualOverride,7,1722605848.85,4,pNodeReporter
1722605848.852186,ned,13.46,1.96,0.02,149.25,kayak,gray70,PARK,ManualOverride,7,1722605848.85,4,pNodeReporter
1722605851.860316,ned,13.42,1.98,0,149.25,kayak,gray70,PARK,ManualOverride,8,1722605851.86,4,pNodeReporter
1722605854.872026,ned,13.32,2.09,0.02,149.25,kayak,gray70,PARK,ManualOverride,9,1722605854.87,4,pNodeReporter
1722605857.8803961,ned,13.25,2.22,0.01,149.25,kayak,gray70,PARK,ManualOverride,10,1722605857.88,4,pNodeReporter
1722605860.891036,ned,13.22,2.22,0.01,149.25,kayak,gray70,PARK,ManualOverride,11,1722605860.89,4,pNodeReporter
1722605863.901716,ned,13.28,2.19,0.03,149.25,kayak,gray70,PARK,ManualOverride,12,1722605863.9,4,pNodeReporter
1722605866.9102361,ned,13.21,2.3,0.02,149.25,kayak,gray70,PARK,ManualOverride,13,1722605866.91,4,pNodeReporter
1722605869.923316,ned,13.13,2.33,0.01,149.25,kayak,gray70,PARK,ManualOverride,14,1722605869.92,4,pNodeReporter
1722605872.9363961,ned,13.11,2.32,0.03,149.25,kayak,gray70,PARK,ManualOverride,15,1722605872.94,4,pNodeReporter
1722605875.9446661,ned,13.13,2.33,0.01,149.25,kayak,gray70,PARK,ManualOverride,16,1722605875.94,4,pNodeReporter
1722605878.957586,ned,13.18,2.32,0,149.25,kayak,gray70,PARK,ManualOverride,17,1722605878.96,4,pNodeReporter
1722605881.967026,ned,13.31,2.28,0.03,149.25,kayak,gray70,PARK,ManualOverride,18,1722605881.97,4,pNodeReporter
1722605884.976236,ned,13.44,2.13,0.02,149.25,kayak,gray70,PARK,ManualOverride,19,1722605884.98,4,pNodeReporter
1722605887.988526,ned,13.51,2.07,0.01,149.25,kayak,gray70,PARK,ManualOverride,20,1722605887.99,4,pNodeReporter
1722605890.996956,ned,13.5,2.09,0,149.25,kayak,gray70,PARK,ManualOverride,21,1722605891,4,pNodeReporter
1722605894.009206,ned,13.52,2.02,0.02,149.25,kayak,gray70,PARK,ManualOverride,22,1722605894.01,4,pNodeReporter
1722605897.019166,ned,13.58,1.95,0.01,149.25,kayak,gray70,PARK,ManualOverride,23,1722605897.02,4,pNodeReporter
1722605900.027956,ned,13.47,2.02,0.01,149.25,kayak,gray70,PARK,ManualOverride,24,1722605900.03,4,pNodeReporter
1722605903.040906,ned,13.32,2.17,0.02,149.25,kayak,gray70,PARK,ManualOverride,25,1722605903.04,4,pNodeReporter
