time,data,src
1722605830.527969,NA,pContactMgrV20
1722605831.528849,NA,pContactMgrV20
1722605831.528849,NA,pContactMgrV20
1722605832.529619,NA,pContactMgrV20
1722605832.529619,NA,pContactMgrV20
1722605833.5303988,NA,pContactMgrV20
1722605834.531159,NA,pContactMgrV20
1722605835.5319889,NA,pContactMgrV20
1722605835.5319889,NA,pContactMgrV20
1722605836.532709,NA,pContactMgrV20
1722605837.533619,NA,pContactMgrV20
1722605838.534329,NA,pContactMgrV20
1722605839.535359,NA,pContactMgrV20
1722605839.535359,NA,pContactMgrV20
1722605840.540379,vname=abe|range=26.26|age=0.38#vname=max|range=1.10|age=0.65#vname=ned|range=1.57|age=0.73,pContactMgrV20
1722605841.5418088,vname=abe|range=26.27|age=1.38#vname=max|range=1.09|age=1.65#vname=ned|range=1.58|age=1.73,pContactMgrV20
1722605842.543249,vname=abe|range=26.27|age=2.38#vname=max|range=1.09|age=2.65#vname=ned|range=1.58|age=2.73,pContactMgrV20
1722605843.5441089,vname=abe|range=26.23|age=0.37#vname=max|range=1.09|age=0.64#vname=ned|range=1.61|age=0.71,pContactMgrV20
1722605844.546089,vname=abe|range=26.22|age=1.37#vname=max|range=1.09|age=1.64#vname=ned|range=1.60|age=1.71,pContactMgrV20
1722605845.547049,vname=abe|range=26.21|age=2.37#vname=max|range=1.07|age=2.64#vname=ned|range=1.59|age=2.71,pContactMgrV20
1722605845.547049,vname=abe|range=26.21|age=2.37#vname=max|range=1.07|age=2.64#vname=ned|range=1.59|age=2.71,pContactMgrV20
1722605846.547669,vname=abe|range=26.15|age=0.35#vname=max|range=1.12|age=0.63#vname=ned|range=1.59|age=0.70,pContactMgrV20
1722605847.549059,vname=abe|range=26.14|age=1.36#vname=max|range=1.11|age=1.64#vname=ned|range=1.57|age=1.71,pContactMgrV20
1722605848.5502388,vname=abe|range=26.14|age=2.36#vname=max|range=1.09|age=2.64#vname=ned|range=1.57|age=2.71,pContactMgrV20
1722605848.5502388,vname=abe|range=26.14|age=2.36#vname=max|range=1.09|age=2.64#vname=ned|range=1.57|age=2.71,pContactMgrV20
1722605849.551979,vname=abe|range=26.09|age=0.35#vname=max|range=1.09|age=0.63#vname=ned|range=1.53|age=0.70,pContactMgrV20
1722605850.552199,vname=abe|range=26.09|age=1.35#vname=max|range=1.08|age=1.63#vname=ned|range=1.53|age=1.70,pContactMgrV20
1722605851.554589,vname=abe|range=26.10|age=2.35#vname=max|range=1.07|age=2.63#vname=ned|range=1.54|age=2.70,pContactMgrV20
1722605852.555119,vname=abe|range=26.10|age=0.33#vname=max|range=1.10|age=0.61#vname=ned|range=1.53|age=0.69,pContactMgrV20
1722605853.557839,vname=abe|range=26.13|age=1.33#vname=max|range=1.11|age=1.61#vname=ned|range=1.56|age=1.69,pContactMgrV20
1722605854.557989,vname=abe|range=26.14|age=2.33#vname=max|range=1.12|age=2.61#vname=ned|range=1.57|age=2.69,pContactMgrV20
1722605855.560289,vname=abe|range=26.14|age=0.33#vname=max|range=1.11|age=0.61#vname=ned|range=1.55|age=0.69,pContactMgrV20
1722605856.561409,vname=abe|range=26.15|age=1.33#vname=max|range=1.12|age=1.61#vname=ned|range=1.56|age=1.69,pContactMgrV20
1722605857.563819,vname=abe|range=26.16|age=2.33#vname=max|range=1.14|age=2.61#vname=ned|range=1.58|age=2.69,pContactMgrV20
1722605858.566269,vname=abe|range=26.21|age=0.31#vname=max|range=1.16|age=0.60#vname=ned|range=1.61|age=0.68,pContactMgrV20
1722605859.567409,vname=abe|range=26.22|age=1.31#vname=max|range=1.16|age=1.60#vname=ned|range=1.62|age=1.68,pContactMgrV20
1722605860.569269,vname=abe|range=26.22|age=2.31#vname=max|range=1.16|age=2.60#vname=ned|range=1.62|age=2.68,pContactMgrV20
1722605861.571769,vname=abe|range=26.27|age=0.31#vname=max|range=1.14|age=0.59#vname=ned|range=1.61|age=0.68,pContactMgrV20
1722605862.573099,vname=abe|range=26.27|age=1.31#vname=max|range=1.13|age=1.59#vname=ned|range=1.61|age=1.68,pContactMgrV20
1722605863.5748289,vname=abe|range=26.30|age=2.31#vname=max|range=1.14|age=2.59#vname=ned|range=1.64|age=2.68,pContactMgrV20
1722605864.575329,vname=abe|range=26.37|age=0.29#vname=max|range=1.13|age=0.58#vname=ned|range=1.71|age=0.67,pContactMgrV20
1722605865.5767689,vname=abe|range=26.40|age=1.29#vname=max|range=1.14|age=1.58#vname=ned|range=1.75|age=1.67,pContactMgrV20
1722605866.577889,vname=abe|range=26.44|age=2.29#vname=max|range=1.16|age=2.58#vname=ned|range=1.79|age=2.67,pContactMgrV20
1722605867.5800889,vname=abe|range=26.47|age=0.66#vname=max|range=1.14|age=0.57#vname=ned|range=1.84|age=0.67,pContactMgrV20
1722605868.581209,vname=abe|range=26.47|age=0.28#vname=max|range=1.17|age=1.57#vname=ned|range=1.87|age=1.67,pContactMgrV20
1722605869.581769,vname=abe|range=26.48|age=1.28#vname=max|range=1.18|age=2.57#vname=ned|range=1.88|age=2.67,pContactMgrV20
1722605870.5834389,vname=abe|range=26.51|age=2.28#vname=max|range=1.15|age=0.56#vname=ned|range=1.87|age=0.66,pContactMgrV20
1722605871.5848389,vname=abe|range=26.47|age=0.65#vname=max|range=1.16|age=1.56#vname=ned|range=1.88|age=1.66,pContactMgrV20
1722605872.586529,vname=abe|range=26.49|age=1.65#vname=max|range=1.16|age=2.56#vname=ned|range=1.91|age=2.66,pContactMgrV20
1722605873.587439,vname=abe|range=26.51|age=2.65#vname=max|range=1.13|age=0.55#vname=ned|range=1.91|age=0.64,pContactMgrV20
1722605874.588149,vname=abe|range=26.48|age=0.63#vname=max|range=1.16|age=1.55#vname=ned|range=1.96|age=1.64,pContactMgrV20
1722605875.5902588,vname=abe|range=26.53|age=1.64#vname=max|range=1.19|age=2.56#vname=ned|range=2.02|age=2.65,pContactMgrV20
1722605876.590889,vname=abe|range=26.59|age=2.64#vname=max|range=1.26|age=0.55#vname=ned|range=2.12|age=0.65,pContactMgrV20
1722605877.5923789,vname=abe|range=26.59|age=0.63#vname=max|range=1.33|age=1.55#vname=ned|range=2.21|age=1.65,pContactMgrV20
1722605878.593119,vname=abe|range=26.60|age=1.63#vname=max|range=1.34|age=2.55#vname=ned|range=2.22|age=2.65,pContactMgrV20
1722605879.5944788,vname=abe|range=26.65|age=2.63#vname=max|range=1.44|age=0.54#vname=ned|range=2.31|age=0.63,pContactMgrV20
1722605880.594879,vname=abe|range=26.60|age=0.61#vname=max|range=1.48|age=1.54#vname=ned|range=2.35|age=1.63,pContactMgrV20
1722605881.595629,vname=abe|range=26.64|age=1.61#vname=max|range=1.52|age=2.54#vname=ned|range=2.41|age=2.63,pContactMgrV20
1722605882.5964289,vname=abe|range=26.66|age=2.61#vname=max|range=1.63|age=0.53#vname=ned|range=2.51|age=0.62,pContactMgrV20
1722605883.597189,vname=abe|range=26.61|age=0.60#vname=max|range=1.67|age=1.53#vname=ned|range=2.55|age=1.62,pContactMgrV20
1722605884.597779,vname=abe|range=26.63|age=1.60#vname=max|range=1.71|age=2.53#vname=ned|range=2.59|age=2.62,pContactMgrV20
1722605885.599479,vname=abe|range=26.63|age=2.61#vname=max|range=1.79|age=0.52#vname=ned|range=2.58|age=0.62,pContactMgrV20
1722605886.599879,vname=abe|range=26.57|age=0.60#vname=max|range=1.81|age=1.52#vname=ned|range=2.60|age=1.62,pContactMgrV20
1722605887.601269,vname=abe|range=26.58|age=1.60#vname=max|range=1.83|age=2.52#vname=ned|range=2.62|age=2.62,pContactMgrV20
1722605888.601759,vname=abe|range=26.61|age=2.60#vname=max|range=1.98|age=0.51#vname=ned|range=2.65|age=0.61,pContactMgrV20
1722605889.602439,vname=abe|range=26.59|age=0.58#vname=max|range=1.99|age=1.51#vname=ned|range=2.67|age=1.61,pContactMgrV20
1722605890.602619,vname=abe|range=26.62|age=1.58#vname=max|range=2.04|age=2.51#vname=ned|range=2.71|age=2.61,pContactMgrV20
