time,data,src
1722605830.527979,NA,pContactMgrV20
1722605831.028359,NA,pContactMgrV20
1722605831.528859,NA,pContactMgrV20
1722605831.528859,NA,pContactMgrV20
1722605832.029269,NA,pContactMgrV20
1722605832.529629,NA,pContactMgrV20
1722605833.029979,NA,pContactMgrV20
1722605833.029979,NA,pContactMgrV20
1722605833.5304189,NA,pContactMgrV20
1722605834.0307689,NA,pContactMgrV20
1722605834.531169,NA,pContactMgrV20
1722605835.031509,NA,pContactMgrV20
1722605835.5319989,NA,pContactMgrV20
1722605835.5319989,NA,pContactMgrV20
1722605836.032399,NA,pContactMgrV20
1722605836.532719,NA,pContactMgrV20
1722605837.033139,NA,pContactMgrV20
1722605837.533639,NA,pContactMgrV20
1722605838.033979,NA,pContactMgrV20
1722605838.534339,NA,pContactMgrV20
1722605839.034719,NA,pContactMgrV20
1722605839.535369,NA,pContactMgrV20
1722605840.042569,1.1|1.6,pContactMgrV20
1722605840.042569,1.1|1.6,pContactMgrV20
1722605840.5404189,1.1|1.6|26.3,pContactMgrV20
1722605841.0411189,1.1|1.6|26.3,pContactMgrV20
1722605841.541859,1.1|1.6|26.3,pContactMgrV20
1722605842.043629,1.1|1.6|26.3,pContactMgrV20
1722605842.543309,1.1|1.6|26.3,pContactMgrV20
1722605843.043709,1.1|1.6|26.3,pContactMgrV20
1722605843.544169,1.1|1.6|26.2,pContactMgrV20
1722605844.044929,1.1|1.6|26.2,pContactMgrV20
1722605844.546159,1.1|1.6|26.2,pContactMgrV20
1722605845.046859,1.1|1.6|26.2,pContactMgrV20
1722605845.5470989,1.1|1.6|26.2,pContactMgrV20
1722605846.047349,1.1|1.6|26.2,pContactMgrV20
1722605846.047349,1.1|1.6|26.2,pContactMgrV20
1722605846.547729,1.1|1.6|26.2,pContactMgrV20
1722605847.047829,1.1|1.6|26.2,pContactMgrV20
1722605847.549109,1.1|1.6|26.1,pContactMgrV20
1722605848.0491889,1.1|1.6|26.1,pContactMgrV20
1722605848.550299,1.1|1.6|26.1,pContactMgrV20
1722605848.550299,1.1|1.6|26.1,pContactMgrV20
1722605849.051619,1.1|1.5|26.1,pContactMgrV20
1722605849.552029,1.1|1.5|26.1,pContactMgrV20
1722605850.052139,1.1|1.5|26.1,pContactMgrV20
1722605850.552259,1.1|1.5|26.1,pContactMgrV20
1722605851.053349,1.1|1.5|26.1,pContactMgrV20
1722605851.5546489,1.1|1.5|26.1,pContactMgrV20
1722605852.054949,1.1|1.5|26.1,pContactMgrV20
1722605852.5551789,1.1|1.5|26.1,pContactMgrV20
1722605853.055229,1.1|1.5|26.1,pContactMgrV20
1722605853.557899,1.1|1.6|26.1,pContactMgrV20
1722605854.0569088,1.1|1.6|26.1,pContactMgrV20
1722605854.558039,1.1|1.6|26.1,pContactMgrV20
1722605855.059249,1.1|1.6|26.2,pContactMgrV20
1722605855.560339,1.1|1.6|26.1,pContactMgrV20
1722605856.060359,1.1|1.6|26.2,pContactMgrV20
1722605856.561459,1.1|1.6|26.2,pContactMgrV20
1722605857.062579,1.1|1.6|26.2,pContactMgrV20
1722605857.563879,1.1|1.6|26.2,pContactMgrV20
1722605858.064309,1.1|1.6|26.2,pContactMgrV20
1722605858.566339,1.2|1.6|26.2,pContactMgrV20
