time,NAME,X,Y,SPD,HDG,TYPE,COLOR,MODE,ALLSTOP,test,TIME,LENGTH,src
1722605831.0077589,oak,12.03,1.33,0.01,213.31,kayak,gray70,MALCONFIG,n/a,1722605831.01,4,pNodeReporter
1722605831.0077589,oak,12.03,1.33,0.01,213.31,kayak,gray70,MALCONFIG,n/a,1722605831.01,4,pNodeReporter
1722605831.0077589,oak,12.03,1.33,0.01,213.31,kayak,gray70,MALCONFIG,n/a,1722605831.01,4,pNodeReporter
1722605834.023809,oak,11.96,1.39,0,213.31,kayak,gray70,MALCONFIG,n/a,1,1722605834.02,4,pNodeReporter
1722605834.023809,oak,11.96,1.39,0,213.31,kayak,gray70,MALCONFIG,n/a,1,1722605834.02,4,pNodeReporter
1722605837.0398788,oak,11.94,1.46,0,213.31,kayak,gray70,MALCONFIG,n/a,2,1722605837.04,4,pNodeReporter
1722605840.057239,oak,11.96,1.43,0,213.31,kayak,gray70,MALCONFIG,n/a,3,1722605840.06,4,pNodeReporter
1722605840.057239,oak,11.96,1.43,0,213.31,kayak,gray70,MALCONFIG,n/a,3,1722605840.06,4,pNodeReporter
1722605843.073269,oak,11.98,1.41,0.01,213.31,kayak,gray70,MALCONFIG,n/a,4,1722605843.07,4,pNodeReporter
1722605846.094639,oak,11.99,1.43,0.01,213.31,kayak,gray70,MALCONFIG,n/a,5,1722605846.09,4,pNodeReporter
1722605846.094639,oak,11.99,1.43,0.01,213.31,kayak,gray70,MALCONFIG,n/a,5,1722605846.09,4,pNodeReporter
1722605846.094639,oak,11.99,1.43,0.01,213.31,kayak,gray70,MALCONFIG,n/a,5,1722605846.09,4,pNodeReporter
1722605849.112139,oak,12.03,1.37,0.01,213.31,kayak,gray70,MALCONFIG,n/a,6,1722605849.11,4,pNodeReporter
1722605852.128059,oak,12.07,1.26,0.01,213.31,kayak,gray70,MALCONFIG,n/a,7,1722605852.13,4,pNodeReporter
1722605855.1445289,oak,12.03,1.22,0.01,213.31,kayak,gray70,MALCONFIG,n/a,8,1722605855.14,4,pNodeReporter
1722605858.162289,oak,12.01,1.22,0.01,213.31,kayak,gray70,MALCONFIG,n/a,9,1722605858.16,4,pNodeReporter
1722605861.178669,oak,12.01,1.17,0.01,213.31,kayak,gray70,MALCONFIG,n/a,10,1722605861.18,4,pNodeReporter
1722605864.195989,oak,11.99,1.07,0,213.31,kayak,gray70,MALCONFIG,n/a,11,1722605864.2,4,pNodeReporter
1722605867.213399,oak,11.94,1,0,213.31,kayak,gray70,MALCONFIG,n/a,12,1722605867.21,4,pNodeReporter
1722605870.230669,oak,11.87,0.96,0,213.31,kayak,gray70,MALCONFIG,n/a,13,1722605870.23,4,pNodeReporter
1722605873.247659,oak,11.84,0.91,0,213.31,kayak,gray70,MALCONFIG,n/a,14,1722605873.25,4,pNodeReporter
1722605876.264219,oak,11.79,0.72,0.01,213.31,kayak,gray70,MALCONFIG,n/a,15,1722605876.26,4,pNodeReporter
1722605879.281089,oak,11.72,0.56,0,213.31,kayak,gray70,MALCONFIG,n/a,16,1722605879.28,4,pNodeReporter
1722605882.296789,oak,11.73,0.35,0,213.31,kayak,gray70,MALCONFIG,n/a,17,1722605882.3,4,pNodeReporter
1722605885.312979,oak,11.81,0.13,0.01,213.31,kayak,gray70,MALCONFIG,n/a,18,1722605885.31,4,pNodeReporter
1722605888.329819,oak,11.83,0.04,0,213.31,kayak,gray70,MALCONFIG,n/a,19,1722605888.33,4,pNodeReporter
1722605891.346629,oak,11.84,-0.07,0,213.31,kayak,gray70,MALCONFIG,n/a,20,1722605891.35,4,pNodeReporter
1722605894.363079,oak,11.88,-0.13,0.01,213.31,kayak,gray70,MALCONFIG,n/a,21,1722605894.36,4,pNodeReporter
1722605897.380389,oak,11.88,-0.07,0,213.31,kayak,gray70,MALCONFIG,n/a,22,1722605897.38,4,pNodeReporter
1722605900.396659,oak,11.85,0.09,0,213.31,kayak,gray70,MALCONFIG,n/a,23,1722605900.4,4,pNodeReporter
1722605903.4131489,oak,11.83,0.33,0.01,213.31,kayak,gray70,MALCONFIG,n/a,24,1722605903.41,4,pNodeReporter
1722605906.429159,oak,11.87,0.54,0.01,213.31,kayak,gray70,MALCONFIG,n/a,25,1722605906.43,4,pNodeReporter
1722605909.445369,oak,11.88,0.74,0.01,213.31,kayak,gray70,MALCONFIG,n/a,26,1722605909.45,4,pNodeReporter
1722605912.461659,oak,11.87,0.89,0.01,213.31,kayak,gray70,MALCONFIG,n/a,27,1722605912.46,4,pNodeReporter
1722605915.477589,oak,11.81,1.11,0,213.31,kayak,gray70,MALCONFIG,n/a,28,1722605915.48,4,pNodeReporter
1722605918.4944289,oak,11.75,1.3,0.01,213.31,kayak,gray70,MALCONFIG,n/a,29,1722605918.49,4,pNodeReporter
1722605921.5102189,oak,11.64,1.43,0.01,213.31,kayak,gray70,MALCONFIG,n/a,30,1722605921.51,4,pNodeReporter
1722605924.526279,oak,11.55,1.48,0.02,213.31,kayak,gray70,MALCONFIG,n/a,31,1722605924.53,4,pNodeReporter
1722605927.542269,oak,11.55,1.57,0,213.31,kayak,gray70,MALCONFIG,n/a,32,1722605927.54,4,pNodeReporter
1722605930.558349,oak,11.59,1.69,0.01,213.31,kayak,gray70,MALCONFIG,n/a,33,1722605930.56,4,pNodeReporter
1722605933.574909,oak,11.62,1.83,0,213.31,kayak,gray70,MALCONFIG,n/a,34,1722605933.57,4,pNodeReporter
1722605936.590819,oak,11.58,1.96,0.01,213.31,kayak,gray70,MALCONFIG,n/a,35,1722605936.59,4,pNodeReporter
1722605939.607009,oak,11.53,2.11,0.01,213.31,kayak,gray70,MALCONFIG,n/a,36,1722605939.61,4,pNodeReporter
1722605942.623369,oak,11.51,2.3,0,213.31,kayak,gray70,MALCONFIG,n/a,37,1722605942.62,4,pNodeReporter
1722605945.640049,oak,11.5,2.45,0.01,213.31,kayak,gray70,MALCONFIG,n/a,38,1722605945.64,4,pNodeReporter
1722605948.656709,oak,11.43,2.54,0,213.31,kayak,gray70,MALCONFIG,n/a,39,1722605948.66,4,pNodeReporter
1722605951.6732988,oak,11.31,2.45,0.01,213.31,kayak,gray70,MALCONFIG,n/a,40,1722605951.67,4,pNodeReporter
1722605954.689679,oak,11.22,2.28,0.01,213.31,kayak,gray70,MALCONFIG,n/a,41,1722605954.69,4,pNodeReporter
1722605957.705369,oak,11.22,2.07,0,213.31,kayak,gray70,MALCONFIG,n/a,42,1722605957.71,4,pNodeReporter
1722605960.722199,oak,11.21,1.82,0,213.31,kayak,gray70,MALCONFIG,n/a,43,1722605960.72,4,pNodeReporter
1722605963.487589,oak,11.25,1.56,0.01,213.31,kayak,gray70,MALCONFIG,n/a,44,1722605963.49,4,pNodeReporter
1722605966.127069,oak,11.32,1.3,0,213.31,kayak,gray70,MALCONFIG,n/a,45,1722605966.13,4,pNodeReporter
1722605966.127069,oak,11.32,1.3,0,213.31,kayak,gray70,MALCONFIG,n/a,45,1722605966.13,4,pNodeReporter
1722605968.641309,oak,11.4,1.06,0,213.31,kayak,gray70,MALCONFIG,n/a,46,1722605968.64,4,pNodeReporter
1722605970.9039989,oak,11.48,0.82,0,213.31,kayak,gray70,MALCONFIG,n/a,47,1722605970.9,4,pNodeReporter
1722605973.920699,oak,11.59,0.63,0.01,213.31,kayak,gray70,MALCONFIG,n/a,48,1722605973.92,4,pNodeReporter
1722605976.937129,oak,11.73,0.43,0.01,213.31,kayak,gray70,MALCONFIG,n/a,49,1722605976.94,4,pNodeReporter
1722605979.954279,oak,11.8,0.31,0.01,213.31,kayak,gray70,MALCONFIG,n/a,50,1722605979.95,4,pNodeReporter
1722605982.974829,oak,11.91,0.28,0,213.31,kayak,gray70,MALCONFIG,n/a,51,1722605982.97,4,pNodeReporter
1722605985.991219,oak,12.03,0.3,0.01,213.31,kayak,gray70,MALCONFIG,n/a,52,1722605985.99,4,pNodeReporter
1722605989.008749,oak,12.2,0.39,0.01,213.31,kayak,gray70,MALCONFIG,n/a,53,1722605989.01,4,pNodeReporter
1722605992.025289,oak,12.33,0.54,0.01,213.31,kayak,gray70,MALCONFIG,n/a,54,1722605992.03,4,pNodeReporter
1722605995.0414689,oak,12.42,0.61,0.01,213.31,kayak,gray70,MALCONFIG,n/a,55,1722605995.04,4,pNodeReporter
1722605998.057419,oak,12.44,0.67,0,213.31,kayak,gray70,MALCONFIG,n/a,56,1722605998.06,4,pNodeReporter
1722606001.073999,oak,12.44,0.8,0,213.31,kayak,gray70,MALCONFIG,n/a,57,1722606001.07,4,pNodeReporter
1722606004.091109,oak,12.4,0.87,0,213.31,kayak,gray70,MALCONFIG,n/a,58,1722606004.09,4,pNodeReporter
1722606007.108309,oak,12.36,0.76,0,213.31,kayak,gray70,MALCONFIG,n/a,59,1722606007.11,4,pNodeReporter
1722606010.124449,oak,12.31,0.69,0,213.31,kayak,gray70,MALCONFIG,n/a,60,1722606010.12,4,pNodeReporter
1722606013.140459,oak,12.27,0.7,0,213.31,kayak,gray70,MALCONFIG,n/a,61,1722606013.14,4,pNodeReporter
1722606016.156609,oak,12.24,0.78,0.01,213.31,kayak,gray70,MALCONFIG,n/a,62,1722606016.16,4,pNodeReporter
1722606019.173339,oak,12.2,0.89,0,213.31,kayak,gray70,MALCONFIG,n/a,63,1722606019.17,4,pNodeReporter
1722606022.190749,oak,12.14,1.09,0.01,213.31,kayak,gray70,MALCONFIG,n/a,64,1722606022.19,4,pNodeReporter
1722606025.207959,oak,12.16,1.28,0.02,213.31,kayak,gray70,MALCONFIG,n/a,65,1722606025.21,4,pNodeReporter
1722606028.224949,oak,12.16,1.32,0.01,213.31,kayak,gray70,MALCONFIG,n/a,66,1722606028.22,4,pNodeReporter
1722606031.2421389,oak,12.09,1.33,0.01,213.31,kayak,gray70,MALCONFIG,n/a,67,1722606031.24,4,pNodeReporter
1722606034.258199,oak,12.02,1.35,0,213.31,kayak,gray70,MALCONFIG,n/a,68,1722606034.26,4,pNodeReporter
1722606037.274939,oak,11.98,1.46,0,213.31,kayak,gray70,MALCONFIG,n/a,69,1722606037.27,4,pNodeReporter
1722606040.2911289,oak,11.94,1.54,0.01,213.31,kayak,gray70,MALCONFIG,n/a,70,1722606040.29,4,pNodeReporter
1722606043.307419,oak,11.91,1.65,0.01,213.31,kayak,gray70,MALCONFIG,n/a,71,1722606043.31,4,pNodeReporter
1722606046.324049,oak,11.9,1.82,0,213.31,kayak,gray70,MALCONFIG,n/a,72,1722606046.32,4,pNodeReporter
1722606049.340329,oak,11.87,1.93,0.01,213.31,kayak,gray70,MALCONFIG,n/a,73,1722606049.34,4,pNodeReporter
1722606052.357099,oak,11.85,2.02,0,213.31,kayak,gray70,MALCONFIG,n/a,74,1722606052.36,4,pNodeReporter
1722606055.374469,oak,11.79,2.13,0.01,213.31,kayak,gray70,MALCONFIG,n/a,75,1722606055.37,4,pNodeReporter
1722606058.391409,oak,11.64,2.26,0,213.31,kayak,gray70,MALCONFIG,n/a,76,1722606058.39,4,pNodeReporter
1722606061.407899,oak,11.53,2.28,0,213.31,kayak,gray70,MALCONFIG,n/a,77,1722606061.41,4,pNodeReporter
1722606064.424269,oak,11.47,2.28,0,213.31,kayak,gray70,MALCONFIG,n/a,78,1722606064.42,4,pNodeReporter
1722606067.440819,oak,11.42,2.26,0,213.31,kayak,gray70,MALCONFIG,n/a,79,1722606067.44,4,pNodeReporter
1722606070.4573789,oak,11.42,2.19,0.01,213.31,kayak,gray70,MALCONFIG,n/a,80,1722606070.46,4,pNodeReporter
1722606073.473609,oak,11.44,2.17,0.01,213.31,kayak,gray70,MALCONFIG,n/a,81,1722606073.47,4,pNodeReporter
1722606076.489569,oak,11.47,2.17,0,213.31,kayak,gray70,MALCONFIG,n/a,82,1722606076.49,4,pNodeReporter
1722606079.506579,oak,11.55,2.17,0,213.31,kayak,gray70,MALCONFIG,n/a,83,1722606079.51,4,pNodeReporter
1722606082.523629,oak,11.62,2.26,0.01,213.31,kayak,gray70,MALCONFIG,n/a,84,1722606082.52,4,pNodeReporter
1722606085.541669,oak,11.64,2.41,0,213.31,kayak,gray70,MALCONFIG,n/a,85,1722606085.54,4,pNodeReporter
1722606088.557869,oak,11.66,2.57,0,213.31,kayak,gray70,MALCONFIG,n/a,86,1722606088.56,4,pNodeReporter
1722606091.574529,oak,11.69,2.7,0,213.31,kayak,gray70,MALCONFIG,n/a,87,1722606091.57,4,pNodeReporter
1722606094.590999,oak,11.73,2.85,0,213.31,kayak,gray70,MALCONFIG,n/a,88,1722606094.59,4,pNodeReporter
1722606097.608249,oak,11.7,2.98,0.01,213.31,kayak,gray70,MALCONFIG,n/a,89,1722606097.61,4,pNodeReporter
1722606100.624239,oak,11.61,3.04,0.01,213.31,kayak,gray70,MALCONFIG,n/a,90,1722606100.62,4,pNodeReporter
1722606103.640959,oak,11.58,3.08,0.01,213.31,kayak,gray70,MALCONFIG,n/a,91,1722606103.64,4,pNodeReporter
1722606106.657379,oak,11.51,3.13,0.01,213.31,kayak,gray70,MALCONFIG,n/a,92,1722606106.66,4,pNodeReporter
1722606109.6745288,oak,11.47,3.06,0.01,213.31,kayak,gray70,MALCONFIG,n/a,93,1722606109.67,4,pNodeReporter
1722606112.691279,oak,11.43,3.02,0.01,213.31,kayak,gray70,MALCONFIG,n/a,94,1722606112.69,4,pNodeReporter
1722606115.708659,oak,11.43,2.91,0,213.31,kayak,gray70,MALCONFIG,n/a,95,1722606115.71,4,pNodeReporter
1722606118.7259889,oak,11.48,2.74,0.01,213.31,kayak,gray70,MALCONFIG,n/a,96,1722606118.73,4,pNodeReporter
1722606121.743739,oak,11.53,2.56,0.01,213.31,kayak,gray70,MALCONFIG,n/a,97,1722606121.74,4,pNodeReporter
1722606124.7614489,oak,11.54,2.48,0,213.31,kayak,gray70,MALCONFIG,n/a,98,1722606124.76,4,pNodeReporter
1722606127.7784789,oak,11.51,2.45,0.01,213.31,kayak,gray70,MALCONFIG,n/a,99,1722606127.78,4,pNodeReporter
1722606130.7948189,oak,11.44,2.46,0.01,213.31,kayak,gray70,MALCONFIG,n/a,100,1722606130.79,4,pNodeReporter
1722606133.811029,oak,11.35,2.43,0.01,213.31,kayak,gray70,MALCONFIG,n/a,101,1722606133.81,4,pNodeReporter
1722606136.826999,oak,11.36,2.43,0,213.31,kayak,gray70,MALCONFIG,n/a,102,1722606136.83,4,pNodeReporter
1722606139.843879,oak,11.4,2.43,0.01,213.31,kayak,gray70,MALCONFIG,n/a,103,1722606139.84,4,pNodeReporter
1722606142.8613389,oak,11.43,2.39,0,213.31,kayak,gray70,MALCONFIG,n/a,104,1722606142.86,4,pNodeReporter
1722606145.877589,oak,11.48,2.3,0.01,213.31,kayak,gray70,MALCONFIG,n/a,105,1722606145.88,4,pNodeReporter
1722606148.8941588,oak,11.46,2.2,0.01,213.31,kayak,gray70,MALCONFIG,n/a,106,1722606148.89,4,pNodeReporter
1722606151.912339,oak,11.39,2.15,0.01,213.31,kayak,gray70,MALCONFIG,n/a,107,1722606151.91,4,pNodeReporter
1722606154.927859,oak,11.29,2.11,0.01,213.31,kayak,gray70,MALCONFIG,n/a,108,1722606154.93,4,pNodeReporter
1722606157.9443789,oak,11.18,2.06,0,213.31,kayak,gray70,MALCONFIG,n/a,109,1722606157.94,4,pNodeReporter
